City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,punta arenas,-53.15,-70.9167,10.06,62,75,9.26,CL,1678057384
71,provideniya,64.3833,-173.3,1.06,80,100,6.0,RU,1678057384
72,hualmay,-11.0964,-77.6139,23.76,75,100,3.22,PE,1678057385
73,airai,-8.9266,125.4092,16.86,88,91,1.09,TL,1678057385
74,port elizabeth,-33.918,25.5701,19.16,82,0,6.69,ZA,1678057386
75,kaitangata,-46.2817,169.8464,15.01,53,15,2.98,NZ,1678057386
76,longyearbyen,78.2186,15.6401,-14.09,51,40,5.66,SJ,1678057387
77,san francisco,37.7749,-122.4194,13.49,62,75,6.17,US,1678057186
78,torbay,47.6666,-52.7314,-3.57,74,75,3.09,CA,1678057388
79,richards bay,-28.783,32.0377,23.6,84,0,5.52,ZA,1678057388
80,ostersund,63.1792,14.6357,-7.99,86,0,2.06,SE,1678057328
81,aksay,47.26,39.87,2.36,83,24,2.24,RU,1678057389
82,cherskiy,68.75,161.3,-33.31,96,98,2.88,RU,1678057389
83,grand-lahou,5.1367,-5.0242,26.54,89,58,2.71,CI,1678057390
84,rio grande,-32.035,-52.0986,24.06,70,52,5.53,BR,1678057391
85,half moon bay,37.4636,-122.4286,13.63,55,0,7.2,US,1678057391
86,rio tuba,8.5061,117.4317,25.4,80,48,5.75,PH,1678057392
87,vredendal,-31.6683,18.5012,17.31,89,10,2.3,ZA,1678057392
88,hay river,60.8156,-115.7999,-22.02,64,75,2.57,CA,1678057250
89,balkanabat,39.5108,54.3671,14.38,54,47,1.46,TM,1678057393
90,staraya toropa,56.2801,31.6702,-5.41,97,99,2.21,RU,1678057394
91,ouadda,8.0777,22.4007,23.73,13,100,2.33,CF,1678057395
92,cabedelo,-6.9811,-34.8339,28.37,74,97,4.76,BR,1678057273
93,cape town,-33.9258,18.4232,17.29,92,100,8.23,ZA,1678057199
94,xichang,27.8964,102.2634,9.48,83,51,1.02,CN,1678057395
95,san patricio,28.017,-97.5169,27.32,51,0,6.61,US,1678057396
96,viedma,-40.8135,-62.9967,31.9,17,0,4.54,AR,1678057140
97,whitehorse,60.7161,-135.0538,-12.72,53,0,2.57,CA,1678057396
98,margate,51.3813,1.3862,3.16,72,100,0.45,GB,1678057397
99,pokhara,28.2333,83.9833,16.47,32,0,3.09,NP,1678057397
100,labrea,-7.2586,-64.7981,24.73,93,99,0.64,BR,1678057398
101,makakilo city,21.3469,-158.0858,25.55,66,100,2.57,US,1678057275
102,comodoro rivadavia,-45.8667,-67.5,28.92,26,100,11.83,AR,1678057399
103,passo de camaragibe,-9.2368,-35.4901,25.75,76,78,1.9,BR,1678057399
104,porgera,-5.4667,143.2,9.92,84,100,0.43,PG,1678057400
105,mbeya,-8.9,33.45,15.01,93,99,1.25,TZ,1678057400
106,mahebourg,-20.4081,57.7,24.16,94,75,0.0,MU,1678057401
107,dumas,35.8656,-101.9732,23.08,6,0,12.35,US,1678057401
108,namibe,-15.1961,12.1522,22.45,66,12,1.85,AO,1678057402
109,lebu,-37.6167,-73.65,16.52,90,4,3.67,CL,1678057402
110,lagoa,39.05,-27.9833,13.94,67,87,9.47,PT,1678057403
111,husavik,66.0449,-17.3389,-3.71,65,100,8.22,IS,1678057403
112,pacific grove,36.6177,-121.9166,12.71,60,40,5.66,US,1678057404
113,pozo colorado,-23.4923,-58.7972,27.26,75,2,2.45,PY,1678057404
114,pevek,69.7008,170.3133,-34.37,100,100,4.06,RU,1678057405
115,kurilsk,45.2333,147.8833,1.54,69,1,2.93,RU,1678057405
116,kotaparh,19.15,82.35,17.33,31,0,0.88,IN,1678057406
117,awbari,26.5921,12.7805,14.38,17,69,2.71,LY,1678057406
118,guanica,17.9716,-66.908,26.95,67,30,4.86,PR,1678057407
119,yellowknife,62.456,-114.3525,-23.58,64,20,2.06,CA,1678057407
120,atar,20.5169,-13.0499,24.5,14,80,3.99,MR,1678057408
121,menongue,-14.6585,17.691,20.71,72,77,1.2,AO,1678057408
122,great yarmouth,52.6083,1.7305,2.79,83,87,3.31,GB,1678057332
123,sept-iles,50.2001,-66.3821,-2.71,66,100,6.69,CA,1678057323
124,san quintin,30.4833,-115.95,13.81,61,100,7.92,MX,1678057409
125,galway,53.2719,-9.0489,6.64,88,84,3.46,IE,1678057409
126,fairlie,55.756,-4.8556,3.0,89,74,2.45,GB,1678057410
127,bathsheba,13.2167,-59.5167,26.34,73,40,6.69,BB,1678057410
128,kortkeros,61.8106,51.5806,-13.0,100,87,2.09,RU,1678057411
129,makambako,-8.8453,34.823,14.38,95,89,1.48,TZ,1678057412
130,middelburg,-25.7751,29.4648,20.26,60,96,1.1,ZA,1678057299
131,saint-philippe,-21.3585,55.7679,24.77,87,100,2.11,RE,1678057413
132,vaini,-21.2,-175.2,25.09,94,100,7.72,TO,1678057413
133,thompson,55.7435,-97.8558,-13.91,66,75,3.09,CA,1678057247
134,khatanga,71.9667,102.5,-22.67,98,100,4.05,RU,1678057414
135,coolum beach,-26.5333,153.1,27.28,71,28,2.37,AU,1678057414
136,barrow,71.2906,-156.7887,-12.99,78,100,10.8,US,1678057415
137,east london,-33.0153,27.9116,22.34,88,46,7.46,ZA,1678057415
138,korla,41.7597,86.1469,4.72,49,3,1.35,CN,1678057232
139,chapais,49.7834,-74.8492,-0.12,86,100,4.52,CA,1678057416
140,toora-khem,52.4675,96.11,-11.1,96,100,0.9,RU,1678057417
141,cacador,-26.7753,-51.015,16.64,98,2,0.96,BR,1678057418
142,mar del plata,-38.0023,-57.5575,24.9,86,0,6.69,AR,1678057200
143,san jose,37.3394,-121.895,13.82,57,75,5.66,US,1678057121
144,vila franca do campo,37.7167,-25.4333,15.23,76,88,4.97,PT,1678057418
145,karla,59.3723,24.9275,-4.16,86,40,0.51,EE,1678057419
146,ifanadiana,-21.3,47.6333,20.54,98,87,1.13,MG,1678057420
147,labuhan,-6.8844,112.2051,24.91,86,100,3.27,ID,1678057421
148,saskylakh,71.9167,114.0833,-25.61,98,100,3.14,RU,1678057421
149,brae,60.3964,-1.353,0.92,96,100,10.47,GB,1678057422
150,ribeira grande,38.5167,-28.7,14.87,74,76,5.81,PT,1678057422
151,narsaq,60.9167,-46.05,10.12,69,4,4.74,GL,1678057394
152,bengkulu,-3.8004,102.2655,23.31,90,27,1.73,ID,1678057423
153,cacoal,-11.4386,-61.4472,24.66,93,71,0.91,BR,1678057423
154,nanortalik,60.1432,-45.2371,0.47,78,20,2.95,GL,1678057424
155,saint-augustin,51.226,-58.6502,1.86,96,100,7.09,CA,1678057424
156,upata,8.0086,-62.3989,25.66,62,98,3.42,VE,1678057425
157,georgetown,5.4112,100.3354,24.97,85,20,3.6,MY,1678057354
158,iraray,8.9936,118.0511,24.45,85,45,3.17,PH,1678057425
159,aykhal,66.0,111.5,-28.64,100,100,3.13,RU,1678057426
160,elliot,-31.3333,27.85,14.92,80,7,3.01,ZA,1678057426
161,matsubase,32.65,130.6667,5.22,69,0,0.91,JP,1678057427
162,bubaque,11.2833,-15.8333,24.68,68,35,8.17,GW,1678057427
163,letka,59.6011,49.4232,-13.63,99,99,2.3,RU,1678057428
164,chingirlau,51.095,54.0814,-4.29,87,68,4.6,KZ,1678057428
165,ranong,9.9658,98.6348,22.96,84,38,2.05,TH,1678057429
166,honiara,-9.4333,159.95,26.97,83,99,4.57,SB,1678057430
167,kupang,-10.1667,123.5833,24.32,100,40,0.51,ID,1678057430
168,touros,-5.1989,-35.4608,26.92,76,100,5.73,BR,1678057430
